GR,s,h,rho,rho_scaled,window,mean,sd
10,0.05,0.5,1e-08,1e-07,541666,9.673680374307168e-06,1.2907004274981546e-05
10,0.05,0.5,1e-08,1e-07,562500,1.2583652597197333e-05,1.458335715356328e-05
10,0.05,0.5,1e-08,1e-07,583333,1.3364117849388527e-05,1.5883326560686326e-05
10,0.05,0.5,1e-08,1e-07,604166,1.5146781530139722e-05,1.8029360462604823e-05
10,0.05,0.5,1e-08,1e-07,625000,1.440304881397799e-05,1.6857287394438097e-05
10,0.05,0.5,1e-08,1e-07,645833,1.6127608502443867e-05,1.8090232587925426e-05
10,0.05,0.5,1e-08,1e-07,666666,1.891121724073495e-05,2.1387851835245235e-05
10,0.05,0.5,1e-08,1e-07,687500,2.0514569913076218e-05,2.2527120895211115e-05
10,0.05,0.5,1e-08,1e-07,708333,2.2428181258260364e-05,2.4894575127251212e-05
10,0.05,0.5,1e-08,1e-07,729166,2.103823227298798e-05,2.1354193251116402e-05
10,0.05,0.5,1e-08,1e-07,750000,2.1780700228014706e-05,2.2754860092063996e-05
